开放日期,签到天数,双倍vip等级,奖励名称,奖励类型,道具ID,道具数量,描述
,,1-15表示对应双倍vip等级 0=null=无双倍,,,item.csv,,
2015=1,1,1,银币,银币,601,5000,可立即获得银币5000。
2015=1,2,,元宝,元宝,602,50,可立即获得元宝50。
2015=1,3,2,周瑜碎片,卡牌碎片,2002,2,收集30个周瑜碎片，可合成2星军师武将周瑜，且是其升星所需材料.
2015=1,4,,周瑜,卡牌,1002,1,可立即获得一个3星武将周瑜。
2015=1,5,3,映波珠坠,宠幸美人道具,11,5,美人宠幸道具，使用后增加美人10点好感度。
2015=1,6,4,银币,银币,601,10000,可立即获得银币10000。
2015=1,7,,元宝,元宝,602,80,可立即获得元宝80。
2015=1,8,5,周瑜碎片,卡牌碎片,2002,3,收集30个周瑜碎片，可合成2星军师武将周瑜，且是其升星所需材料.
2015=1,9,,高级经验丹,经验药,2,2,使用后提升指定武将1000点经验。
2015=1,10,6,胭红香囊,宠幸美人道具,12,5,美人宠幸道具，使用后增加美人10点好感度。
2015=1,11,7,银币,银币,601,10000,可立即获得银币10000。
2015=1,12,,元宝,元宝,602,100,可立即获得元宝100。
2015=1,13,8,周瑜碎片,卡牌碎片,2002,4,收集30个周瑜碎片，可合成2星军师武将周瑜，且是其升星所需材料.
2015=1,14,,高级经验丹,经验药,2,3,使用后提升指定武将1000点经验。
2015=1,15,9,溜紫锦囊,宠幸美人道具,13,5,美人宠幸道具，使用后增加美人20点好感度。
2015=1,16,10,银币,银币,601,15000,可立即获得银币15000。
2015=1,17,,元宝,元宝,602,100,可立即获得元宝100。
2015=1,18,11,周瑜碎片,卡牌碎片,2002,5,收集30个周瑜碎片，可合成2星军师武将周瑜，且是其升星所需材料.
2015=1,19,,高级经验丹,经验药,2,4,使用后提升指定武将1000点经验。
2015=1,20,12,冰凌发簪,宠幸美人道具,14,5,美人宠幸道具，使用后增加美人20点好感度。
2015=1,21,13,银币,银币,601,15000,可立即获得银币15000。
2015=1,22,,元宝,元宝,602,100,可立即获得元宝100。
2015=1,23,14,周瑜碎片,卡牌碎片,2002,6,收集30个周瑜碎片，可合成2星军师武将周瑜，且是其升星所需材料.
2015=1,24,,高级经验丹,经验药,2,5,使用后提升指定武将1000点经验。
2015=1,25,15,火纹玉佩,宠幸美人道具,15,5,美人宠幸道具，使用后增加美人50点好感度。
2015=1,26,15,银币,银币,601,20000,可立即获得银币20000。
2015=1,27,,元宝,元宝,602,100,可立即获得元宝100。
2015=1,28,15,周瑜碎片,卡牌碎片,2002,8,收集30个周瑜碎片，可合成2星军师武将周瑜，且是其升星所需材料.
2015=1,29,,高级经验丹,经验药,2,5,使用后提升指定武将1000点经验。
2015=1,30,15,琉璃项链,宠幸美人道具,16,5,美人宠幸道具，使用后增加美人50点好感度。
2015=1,31,15,银币,银币,601,20000,可立即获得银币20000。
,,,,,,,
,,,,,,,
2015=2,1,1,银币,银币,601,5000,可立即获得银币5000。
2015=2,2,,元宝,元宝,602,50,可立即获得元宝50。
2015=2,3,2,左慈碎片,卡牌碎片,2020,2,收集80个左慈碎片，可合成3星军师武将左慈，且是其升星所需材料.
2015=2,4,,高级经验丹,经验药,2,1,使用后提升指定武将1000点经验。
2015=2,5,3,映波珠坠,宠幸美人道具,11,5,美人宠幸道具，使用后增加美人10点好感度。
2015=2,6,4,左慈,卡牌,1020,1,可立即一张3星级武将左慈。
2015=2,7,,元宝,元宝,602,80,可立即获得元宝80。
2015=2,8,5,左慈碎片,卡牌碎片,2020,3,收集80个左慈碎片，可合成3星军师武将左慈，且是其升星所需材料.
2015=2,9,,高级经验丹,经验药,2,2,使用后提升指定武将1000点经验。
2015=2,10,6,胭红香囊,宠幸美人道具,12,5,美人宠幸道具，使用后增加美人10点好感度。
2015=2,11,7,银币,银币,601,10000,可立即获得银币10000。
2015=2,12,,元宝,元宝,602,100,可立即获得元宝100。
2015=2,13,8,左慈碎片,卡牌碎片,2020,4,收集80个左慈碎片，可合成3星军师武将左慈，且是其升星所需材料.
2015=2,14,,高级经验丹,经验药,2,3,使用后提升指定武将1000点经验。
2015=2,15,9,溜紫锦囊,宠幸美人道具,13,5,美人宠幸道具，使用后增加美人20点好感度。
2015=2,16,10,银币,银币,601,15000,可立即获得银币15000。
2015=2,17,,元宝,元宝,602,100,可立即获得元宝100。
2015=2,18,11,左慈碎片,卡牌碎片,2020,5,收集80个左慈碎片，可合成3星军师武将左慈，且是其升星所需材料.
2015=2,19,,高级经验丹,经验药,2,4,使用后提升指定武将1000点经验。
2015=2,20,12,冰凌发簪,宠幸美人道具,14,5,美人宠幸道具，使用后增加美人20点好感度。
2015=2,21,13,银币,银币,601,15000,可立即获得银币15000。
2015=2,22,,元宝,元宝,602,100,可立即获得元宝100。
2015=2,23,14,左慈碎片,卡牌碎片,2020,6,收集80个左慈碎片，可合成3星军师武将左慈，且是其升星所需材料.
2015=2,24,,高级经验丹,经验药,2,5,使用后提升指定武将1000点经验。
2015=2,25,15,火纹玉佩,宠幸美人道具,15,5,美人宠幸道具，使用后增加美人50点好感度。
2015=2,26,15,银币,银币,601,20000,可立即获得银币20000。
2015=2,27,,元宝,元宝,602,100,可立即获得元宝100。
2015=2,28,15,左慈碎片,卡牌碎片,2020,8,收集80个左慈碎片，可合成3星军师武将左慈，且是其升星所需材料.
2015=2,29,,高级经验丹,经验药,2,5,使用后提升指定武将1000点经验。
2015=2,30,15,琉璃项链,宠幸美人道具,16,5,美人宠幸道具，使用后增加美人50点好感度。
2015=2,31,15,银币,银币,601,20000,可立即获得银币20000。
,,,,,,,
,,,,,,,
2015=3,1,1,银币,银币,601,5000,可立即获得银币5000。
2015=3,2,,元宝,元宝,602,50,可立即获得元宝50。
2015=3,3,2,华佗碎片,卡牌碎片,2022,2,收集80个华佗碎片，可合成3星弓兵武将华佗，且是其升星所需材料.
2015=3,4,,高级经验丹,经验药,2,1,使用后提升指定武将1000点经验。
2015=3,5,3,映波珠坠,宠幸美人道具,11,5,美人宠幸道具，使用后增加美人10点好感度。
2015=3,6,4,华佗,卡牌,1022,1,可立即获得一张3星级武将华佗。
2015=3,7,,元宝,元宝,602,80,可立即获得元宝80。
2015=3,8,5,华佗碎片,卡牌碎片,2022,3,收集80个华佗碎片，可合成3星弓兵武将华佗，且是其升星所需材料.
2015=3,9,,高级经验丹,经验药,2,2,使用后提升指定武将1000点经验。
2015=3,10,6,胭红香囊,宠幸美人道具,12,5,美人宠幸道具，使用后增加美人10点好感度。
2015=3,11,7,银币,银币,601,10000,可立即获得银币10000。
2015=3,12,,元宝,元宝,602,100,可立即获得元宝100。
2015=3,13,8,华佗碎片,卡牌碎片,2022,4,收集80个华佗碎片，可合成3星弓兵武将华佗，且是其升星所需材料.
2015=3,14,,高级经验丹,经验药,2,3,使用后提升指定武将1000点经验。
2015=3,15,9,溜紫锦囊,宠幸美人道具,13,5,美人宠幸道具，使用后增加美人20点好感度。
2015=3,16,10,银币,银币,601,15000,可立即获得银币15000。
2015=3,17,,元宝,元宝,602,100,可立即获得元宝100。
2015=3,18,11,华佗碎片,卡牌碎片,2022,5,收集80个华佗碎片，可合成3星弓兵武将华佗，且是其升星所需材料.
2015=3,19,,高级经验丹,经验药,2,4,使用后提升指定武将1000点经验。
2015=3,20,12,冰凌发簪,宠幸美人道具,14,5,美人宠幸道具，使用后增加美人20点好感度。
2015=3,21,13,银币,银币,601,15000,可立即获得银币15000。
2015=3,22,,元宝,元宝,602,100,可立即获得元宝100。
2015=3,23,14,华佗碎片,卡牌碎片,2022,6,收集80个华佗碎片，可合成3星弓兵武将华佗，且是其升星所需材料.
2015=3,24,,高级经验丹,经验药,2,5,使用后提升指定武将1000点经验。
2015=3,25,15,火纹玉佩,宠幸美人道具,15,5,美人宠幸道具，使用后增加美人50点好感度。
2015=3,26,15,银币,银币,601,20000,可立即获得银币20000。
2015=3,27,,元宝,元宝,602,100,可立即获得元宝100。
2015=3,28,15,华佗碎片,卡牌碎片,2022,8,收集80个华佗碎片，可合成3星弓兵武将华佗，且是其升星所需材料.
2015=3,29,,高级经验丹,经验药,2,5,使用后提升指定武将1000点经验。
2015=3,30,15,琉璃项链,宠幸美人道具,16,5,美人宠幸道具，使用后增加美人50点好感度。
2015=3,31,15,银币,银币,601,20000,可立即获得银币20000。
